date,count
01.02.2021,1
01.02.2022,3
01.03.2021,1
01.03.2022,6
01.04.2021,1
01.05.2021,1
01.06.2021,5
01.07.2021,4
01.08.2021,2
01.09.2021,2
01.10.2021,1
01.11.2021,1
01.12.2021,3
02.01.2021,1
02.01.2022,3
02.02.2021,1
02.02.2022,1
02.03.2022,2
02.06.2021,3
02.07.2021,3
02.08.2021,3
02.09.2020,1
02.09.2021,1
02.10.2021,3
02.11.2021,4
02.12.2020,1
02.12.2021,2
03.01.2021,2
03.01.2022,6
03.02.2021,1
03.02.2022,1
03.03.2021,5
03.04.2021,1
03.05.2021,1
03.08.2021,4
03.09.2021,4
03.10.2021,7
03.11.2021,3
03.12.2020,1
03.12.2021,2
04.01.2022,7
04.02.2022,2
04.03.2021,3
04.03.2022,1
04.04.2021,2
04.06.2020,1
04.06.2021,7
04.07.2021,10
04.08.2021,1
04.09.2021,2
04.10.2020,1
04.10.2021,9
04.11.2021,3
04.12.2020,2
04.12.2021,1
05.01.2022,3
05.02.2021,2
05.02.2022,6
05.03.2021,1
05.04.2021,8
05.06.2021,3
05.07.2021,3
05.08.2021,4
05.09.2020,1
05.09.2021,3
05.10.2021,10
05.11.2021,5
05.12.2021,5
06.01.2022,3
06.02.2021,2
06.02.2022,3
06.03.2021,3
06.04.2021,2
06.05.2021,5
06.06.2021,1
06.07.2020,1
06.07.2021,1
06.08.2021,8
06.09.2021,6
06.10.2021,6
06.11.2020,2
06.11.2021,3
06.12.2021,4
07.01.2021,1
07.02.2021,3
07.02.2022,3
07.04.2021,1
07.05.2021,2
07.06.2021,6
07.07.2020,1
07.07.2021,1
07.08.2021,1
07.09.2021,3
07.10.2021,3
07.11.2020,1
07.11.2021,1
08.01.2021,2
08.01.2022,3
08.02.2021,1
08.02.2022,3
08.03.2021,2
08.04.2020,1
08.04.2021,1
08.05.2021,3
08.06.2021,7
08.07.2021,6
08.08.2021,5
08.09.2021,4
08.11.2020,2
08.11.2021,2
08.12.2020,2
08.12.2021,11
09.01.2022,3
09.02.2021,1
09.02.2022,3
09.03.2021,3
09.04.2021,4
09.06.2021,3
09.07.2021,6
09.08.2021,3
09.09.2021,5
09.11.2020,1
09.11.2021,3
09.12.2020,1
09.12.2021,3
10.01.2021,1
10.01.2022,3
10.02.2021,1
10.03.2021,3
10.05.2020,1
10.05.2021,1
10.06.2021,3
10.07.2021,5
10.08.2020,1
10.08.2021,2
10.09.2020,1
10.09.2021,3
10.10.2021,3
10.12.2020,2
10.12.2021,1
11.01.2021,2
11.01.2022,3
11.02.2022,1
11.03.2021,3
11.04.2021,3
11.05.2021,2
11.06.2021,1
11.07.2021,4
11.08.2021,2
11.09.2021,1
11.10.2020,1
11.10.2021,4
11.11.2020,1
11.11.2021,5
11.12.2021,1
12.01.2022,3
12.03.2021,1
12.04.2021,2
12.05.2021,5
12.06.2021,3
12.07.2021,6
12.08.2021,3
12.09.2020,1
12.09.2021,6
12.10.2021,6
12.11.2021,1
12.12.2020,1
12.12.2021,1
13.01.2022,2
13.02.2021,1
13.02.2022,2
13.03.2021,4
13.04.2021,1
13.05.2021,4
13.06.2021,7
13.07.2021,7
13.08.2021,6
13.09.2021,3
13.10.2020,1
13.10.2021,4
13.11.2021,3
13.12.2020,3
13.12.2021,1
14.01.2021,2
14.01.2022,1
14.02.2021,1
14.02.2022,6
14.03.2021,4
14.05.2021,4
14.06.2021,9
14.07.2021,10
14.08.2020,1
14.08.2021,1
14.09.2021,3
14.10.2021,1
14.11.2021,1
14.12.2020,1
14.12.2021,1
15.01.2021,1
15.01.2022,5
15.02.2022,2
15.03.2021,4
15.04.2021,4
15.05.2021,3
15.06.2021,1
15.07.2021,2
15.08.2021,1
15.09.2021,5
15.10.2021,1
15.11.2021,2
15.12.2021,2
16.01.2021,4
16.01.2022,4
16.02.2022,4
16.04.2021,2
16.06.2021,4
16.07.2021,5
16.08.2021,7
16.09.2021,4
16.11.2021,4
16.12.2020,2
16.12.2021,1
17.01.2021,2
17.01.2022,4
17.02.2021,3
17.02.2022,2
17.03.2021,4
17.05.2021,3
17.06.2020,1
17.06.2021,5
17.07.2020,1
17.07.2021,3
17.08.2021,1
17.09.2021,4
17.10.2021,2
17.11.2020,1
17.11.2021,3
17.12.2021,2
18.01.2021,1
18.01.2022,1
18.02.2022,5
18.03.2021,3
18.04.2021,2
18.05.2021,3
18.07.2021,3
18.08.2021,2
18.09.2021,2
18.10.2020,1
18.10.2021,5
18.11.2020,2
18.11.2021,1
19.01.2022,3
19.02.2022,3
19.03.2021,6
19.04.2021,1
19.05.2021,1
19.06.2021,1
19.07.2021,5
19.08.2021,4
19.09.2021,3
19.10.2020,1
19.10.2021,1
19.11.2021,2
19.12.2020,1
20.01.2021,3
20.02.2022,4
20.03.2021,4
20.04.2021,4
20.05.2021,3
20.06.2021,3
20.07.2021,5
20.08.2021,2
20.09.2020,1
20.09.2021,4
20.10.2021,1
20.11.2021,1
21.01.2021,1
21.01.2022,2
21.02.2022,1
21.03.2021,3
21.05.2021,2
21.06.2021,2
21.07.2021,3
21.08.2021,1
21.09.2020,1
21.09.2021,4
21.10.2020,1
21.10.2021,2
21.11.2021,3
21.12.2021,3
22.01.2022,2
22.02.2021,6
22.02.2022,5
22.03.2021,3
22.04.2021,1
22.06.2021,5
22.07.2021,4
22.08.2021,5
22.10.2021,2
22.11.2020,1
22.11.2021,6
22.12.2020,5
22.12.2021,2
23.01.2021,1
23.01.2022,1
23.02.2022,2
23.03.2021,3
23.04.2021,3
23.05.2021,2
23.06.2021,2
23.07.2021,2
23.08.2021,6
23.09.2021,8
23.10.2020,1
23.10.2021,1
23.11.2021,1
23.12.2021,2
24.02.2021,1
24.02.2022,3
24.03.2021,2
24.04.2021,1
24.05.2021,2
24.06.2021,6
24.08.2021,4
24.09.2021,4
24.10.2021,7
24.11.2021,2
25.01.2021,1
25.01.2022,1
25.02.2021,2
25.02.2022,1
25.03.2021,5
25.04.2021,3
25.05.2021,3
25.06.2021,4
25.07.2021,1
25.08.2021,3
25.09.2020,1
25.09.2021,1
25.10.2021,6
25.11.2021,4
25.12.2020,2
25.12.2021,1
26.01.2022,2
26.02.2022,1
26.03.2021,2
26.04.2021,2
26.05.2021,16
26.06.2021,3
26.07.2021,10
26.09.2020,1
26.09.2021,6
26.10.2020,1
26.10.2021,3
26.12.2020,2
27.01.2021,1
27.01.2022,2
27.02.2021,1
27.02.2022,9
27.03.2021,4
27.04.2021,3
27.06.2021,1
27.07.2021,3
27.08.2021,2
27.09.2020,1
27.09.2021,4
27.10.2020,1
27.10.2021,5
27.11.2021,2
27.12.2021,1
28.01.2021,3
28.01.2022,2
28.02.2021,2
28.02.2022,1
28.03.2021,4
28.05.2021,3
28.06.2021,7
28.07.2021,3
28.08.2021,1
28.09.2021,2
28.11.2021,3
28.12.2021,3
29.01.2022,5
29.03.2021,2
29.05.2021,3
29.06.2021,11
29.07.2021,4
29.09.2021,4
29.10.2020,2
29.10.2021,2
29.11.2021,4
29.12.2021,2
30.01.2022,6
30.03.2021,2
30.04.2021,2
30.05.2021,1
30.06.2021,6
30.07.2021,4
30.08.2021,3
30.09.2021,4
30.10.2021,1
30.11.2021,2
30.12.2021,3
31.01.2022,6
31.03.2021,2
31.05.2021,3
31.07.2021,1
31.08.2021,5
31.10.2021,1
